congress,latestAction_actionDate,latestAction_actionTime,latestAction_text,number,originChamber,originChamberCode,title,type,updateDate,updateDateIncludingText,url
118,2024-05-10,,Presented to President.,8289,House,H,"To extend authorizations for the airport improvement program, to extend the funding and expenditure authority of the Airport and Airway Trust Fund, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:17Z,https://api.congress.gov/v3/bill/118/hr/8289?format=json
118,2024-05-10,,Presented to President.,593,House,H,"To rename the Department of Veterans Affairs community-based outpatient clinic in Hinesville, Georgia, as the ""John Gibson, Dan James, William Sapp, and Frankie Smiley VA Clinic"".",HR,2024-05-12,2024-05-12T04:05:31Z,https://api.congress.gov/v3/bill/118/hr/593?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 417.",6572,House,H,Deploying American Blockchains Act of 2023,HR,2024-05-12,2024-05-12T04:05:21Z,https://api.congress.gov/v3/bill/118/hr/6572?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 416.",6543,House,H,No Hidden FEES Act of 2023,HR,2024-05-12,2024-05-12T04:05:32Z,https://api.congress.gov/v3/bill/118/hr/6543?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 415.",5390,House,H,Critical Infrastructure Manufacturing Feasibility Act,HR,2024-05-12,2024-05-12T04:05:21Z,https://api.congress.gov/v3/bill/118/hr/5390?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 414.",4814,House,H,Consumer Safety Technology Act,HR,2024-05-12,2024-05-12T04:05:30Z,https://api.congress.gov/v3/bill/118/hr/4814?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 413.",4310,House,H,Youth Poisoning Protection Act,HR,2024-05-12,2024-05-12T04:05:24Z,https://api.congress.gov/v3/bill/118/hr/4310?format=json
118,2024-05-10,,"Placed on the Union Calendar, Calendar No. 412.",3950,House,H,TICKET Act,HR,2024-05-12,2024-05-12T04:05:16Z,https://api.congress.gov/v3/bill/118/hr/3950?format=json
118,2024-05-10,,Referred to the House Committee on Ways and Means.,8355,House,H,To amend the Internal Revenue Code of 1986 to recognize Indian tribal governments for purposes of determining under the adoption credit whether a child has special needs.,HR,2024-05-12,2024-05-12T04:05:27Z,https://api.congress.gov/v3/bill/118/hr/8355?format=json
118,2024-05-10,,Referred to the House Committee on Financial Services.,8340,House,H,"To amend section 3(b)(4) of the United States Housing Act of 1937 to exclude certain disability benefits from income for the purposes of determining eligibility for the supported housing program under section 8(o)(19), and for other purposes.",HR,2024-05-12,2024-05-12T04:05:22Z,https://api.congress.gov/v3/bill/118/hr/8340?format=json
